abciximab;acyclovir;alteplase;amiodarone;amlodipine;amoxicillin;ampicillin;angiotensin II;argatroban;aspirin;atorvastatin;atracurium;azithromycin;bisacodyl;bivalirudin;bumetanide;captopril;carvedilol;cefazolin;cefepime;ceftazidime;ceftriaxone;ciprofloxacin;cisatracurium;clindamycin;clonazepam;clonidine;desmopressin;dexamethasone;dexmedetomidine;diltiazem;diphenhydramine;dobutamine;dopamine;enoximone;epinephrine;epoprostenol;eptifibatide;erythromycin;esmolol;felodipine;fentanyl;fluconazole;flumazenil;furosemide;gentamicin;glycopyrronium;haloperidol;heparin;hydrocodone;hydromorphone;hypromellose;ketamine;ketorolac;lansoprazole;lepirudin;levetiracetam;levofloxacin;lidocaine;linezolid;lorazepam;meropenem;methadone;methylprednisolone;metoclopramide;metronidazole;micafungin;midazolam;milrinone;mirtazapine;morphine;neostigmine;nesiritide;nicardipine;nimodipine;nitroglycerin;nitroprusside;norepinephrine;octreotide;pancuronium;pentobarbital;phenylephrine;phenytoin;piperacillin;procainamide;propofol;ranitidine;rocuronium;simvastatin;spironolactone;succinylcholine;sufentanil;sulfamethoxazole;thiopental;tirofiban;tramadol;tranexamic acid;treprostinil;triamterene;vancomycin;vasopressin (USP);vecuronium;warfarin;xylometazoline
;Zovirax;;Amiodaron Carino;EX-ONE R;ACLAON DUO;Totacillin-N;;Argatra;Excedrin Back & Body;ASTAN;Atracurium Deltaselect;ZIROMAX;Entrolax;;Shutong;Captopril Axcount;Keweide;CEFAZOLINE PANPHARMA;Yinglan;Kefadim;Ceftriaxon Azu;CYROCACIN;CISATRACURIUM HOSPIRA;Treclin;Riva Clonazepam;Dispaclonidin;Desmotabs;VICLEAN;;Kentiazem;Endal-HD Reformulated Nov 2007;Dobutamin Hexal;DOPAMINE PIERRE FABRE;;Bronitin;;;Ilotycin;;Belocor;E-Fen;FURUCOZOLE;FLUMAZENIL PANPHARMA;Frusene;Gentafair;Robinul-Neostigmine;Haloperidol Ratiopharm;Fucocux;Lortab;Hydromorphon Hcl Puren;Ultra Tears;MOTORIN;KETOLMINE;SOPRA;;Spritam;LEVOFL;Salonpas Lidocaine Plus;LINEZOLIDE SANDOZ;Punktyl;HANLIM MEROPENEM;Synastone;MD;Peraprin;Nidazol;;Midazolam Atv;Milrinon Hikma;Mirtazapin Awd;Roxanol;NEOS;;HUONS NICARDIPINE;Nimotop;Nitro-Par;;Xylocitin;Octreotid Bendalis;;Repocal;Poly Hist Forte;MYUNGIN PHENYTOIN;Pipracil;Stenocardin;Propoflo;ALTIMO;Rocuroniumbromid Hexal;SIMTAMI;Urusonin;SUXAMETHONIUM BIOCODEX;Sufentan;Gantanol;;;ASTRASET SEMI;Ugurol;;Diuretica;Vancomycin Mayne;;;Nu-Warfarin;4-Way Moisturizing
;Galpharm Cold Sore;;Amiodaron Ct;I-DIPIN;AIRCLA DUO;Penbritin Forte;;;Anacin Advanced Headache Formula;ATODIA;ACRIUM;ZITH M;Bekunis;;Xindi;Captopril Gry;Kailuo;Cefazolin Normon;Xiankang;Fortum;CEFTREE;EPROSIN;CISATRACURIUM PFIZER;Dalacin;Pro-Clonazepam;Haemiton;Desmo;Maxitrol;;Dilcardia XL;Tylenol Severe Allergy;Dobutamin Liquid Fresenius;DOPAMINE RENAUDIN;;Sus-Phrine Injection;;;Eryderm;;Felo Basf;Fentos;SELFNAZOLE;Flumazenil Claris;Lasilactone;Gentafix;Tovanor Breezhaler;Sigaperidol;Haemocura;Vicodin;Hydromorphon Ratiopharm;Tearisol;Ketalar;KETORACIN;UPRA;;Roweepra;LEVOFLCIN;Alocaine;Lineurlub;Pro Dorm;NEOPEM;Metharose;MEPRE;Folicron;EnteroGuard;;MIDAZOLAM ACCORD;Unacor;Mirtazapin Hormosan;Infumorph;Prostigmin;;DONGKOO NICARDIPINE HCL;Baoyitian;Nitroquick;;Levophed;Octreotid Hexal;;Seda Nitrolingual;Sudafed PE Head Congestion Plus Pain;PENITON;Yitan;;FRESOFOL MCT;ALTRI;Rocuroniumbromid Hikma;SIMVADUO;Aldactazine;Lysthenon;Sufentanil Ratiopharm;Comox;;;ATMASET;SHINPOONG TRANEXAMIC ACID;;Esiteren;Vancomycin Riemser;;;Apo-Warfarin;Sudafed Blocked Nose
;Duvimex;;Amiodaron Ebewe;ADIES;AMOBACTAM;Sulbacsin;;;postMI;ATORSAN PLUS;Atracurium Hikma;ZITHROMIN;Axea Lax;;Changze;Captopril Hct;Jinluo;Cefazolin-Mip;Kaluoxin;Ceftazidim Mip;CEPTAXONE;KINOBES;CISATRACURIUM TEVA;Debaosheng;Pms-Clonazepam;Mirfat;DesmoMelt;Ocu-Trol;;Cartia;Dytan;Posiject;Dopamin Carino;;E-Pilo-2;;;Robimycin;;Felo Puren;Durotep;FLUZONE;Flumazenil Hikma;Frumil;Gentisone;Xoterna Breezhaler Kohlpharma;Xyduril;Hemeran;Relasin-HCX;Hydromorphon Stada;Evolve Hypromellose;Ketaflo;TABEL;Prevacid;;Kaijixin;NEOBIT;CidalEaze;Linezolid Accord;Somagerol;NEWROPENEM;Methapain;MEPREN;Neopramiel;Rosiced;;MIDAZOLAM AGUETTANT;;Mirtazapin Isis;RMS;Atvagoreverse;;LOXEN;Yuangan;Ethex brand of nitroglycerin;;Hostacain;Sandostatin;;Norkotral Tema;Benadryl Allergy Plus Congestion;WHANIN HYDANTOIN;Yijun;;FREEFOL-MCT;BISAL;Rocuroniumbromid Hospira;SIMVAETI;Aldace;Pantolax-Actavis;SUFENTAL;Septrin Forte;;;ATMASET SEMI;HUONS TRANEXAMIC ACID;;Haemiton;DONG-A VANCOMYCIN HCL;;;Novo-Warfarin;Dorenasin
;Viralief;;Amiodaron Heumann;ALOSARTAN;AMOCTRAN;Viccillin;;;Fasprin;ATORTIN;;ZITHRON;Boxogetten;;;Captopril Hct Stada;Carvedilol Wolff;Xintailin;Renapime;Ceftazidim Ratioph;CJ CEFTRIAXONE;LITE CIFLOX;Cisatracurium Accord;Keranfu;Landsen;Paracefan;Octim;Ciprodex;;Optil XL;PediaCare Children's Allergy & Cold;Kanglituo;Dopamin Fresenius;;E-Pilo-4;;;Erygel;;Felobeta;Cynril;Diflucan;Flumazenil Sdz;Fru-Co;Gentamicin Redibag;XOTERNA;MYUNGIN HALOPERIDOL;Hepaplus;M-Clear Reformulated Oct 2007;Palladone Ba;Ts Naturale;Ketaved;KETOCIN;Taiproton;;Weian;NEWREFLOXACIN;Preparation H Rapid Relief;Linezolid Al;LORAZEPAM MYLAN;M.P.M;Mephenon;METHISONE;Elieten;Metrosa;;Midazolam Pfizer;;Mirtazapin Kwizda;MST Continus Suspension;Vagostigmin;;NICARDIPINE AGUETTANT;Nilisu;Nitrocontin Continus;;Neo Lidocaton;Sandostatin LAR;;Beuthanasia;Sudafed PE Sinus Congestion plus Allergy;DI-HYDAN;Tezhixing;;PROPOFOL FRESENIUS;BISCRAEL;Rocuroniumbromid Kabi;SIMVALOW;Aldopur;;SUFENTANIL MYLAN;Daiphen;;;ATRACOOL SEMI;TRANSAMIN;;Hypertorr;HUMEDIX VANCOMYCIN HCL;;;Warfilone;Erkaeltungspaket Ratiopharm
;Cymex;;Amiogamma;ALPHAFORGE;AMONEX;Sulbacillin;;;Percodan;ATOSTAR PLUS;;ZITHROTEC;Bisacodyl Aiwa;;;Captopril Heumann;Carvecard;Cefazoline Sandoz;ACEPIME;Infectozidim;DONGKWANG CEFTRIAXONE;MILPROXS;Cisatracurium Hexal;Kaifufei;WHANIN CLONAZEPAM;Tenso Timelets;Minirin;Hexadrol;;Disogram;Dimetapp Nighttime Cold & Congestion;Anchang;CJ DOPAMIX;;E-Pilo-6;;;Erymax;;Felodipin Actavis;Onsolis;Lloydspharmacy Thrush Oral;Jamp-Flumazenil;Axiya;Endurance Gentamicin cement;Glycopyrroniumbromid Accord;Haloper-Ct;Heparin Arnika Mao;Pseudatex HC;Hydromorphon Aristo;Hypromol;Keta-Thesia;KEROLA;Tapizol;;Woping;Quixin;BurnX;Linezolid Demo;TEMESTA;MEPEM;Depridol;METHYLD;Dibertil;Neutratop;;Midazolam B. Braun;;Mirtazapin Pharma;Filnarine SR;Mypilin;;Cardene;Jili;Nitromin;;Sinora;Shengaoding;;Pentosol;Wal-Phed PE Sinus Headache;Phenhydan;Paishu;;PROPOFOL PANPHARMA;BISRANDI;Rocuroniumbromid Mylan;SIMVAPLUS;Furo Aldopur;;Sufenta Epidural;Baktar;;;ATRAPEN;TREMIN;;Jatropur;VANCOZIN;;;Taro-Warfarin;Espa Rhin
;Pinewood Cold Sore;;Amiohexal;AMBASARTAN;AMOPIDIN;Amsulmylan;;;Alka-Seltzer;AUCOVASTA;;Zithromax;Bisacodyl Fair Med;;;Captopril Pfleger;Carvedilol Actavis;Basocef;ALVOGEN CEFEPIME HCL;GLOZIDIME;MYUNGMOON CEFTRIAXONE SODIUM;ROSACIN;Cisatracurium Noridem;Bole;Accel-Clonazepam;Clonistada;Noqdirna;Aeroseb-Dex;;Zemret;Benadryl;Dobutamine EG;Critpan;;Octocaine with Epinephrine;;;PCE;;Felodipin Awd;Lazanda;Galpharm Single Dose Thrush Treatment;Anexate;Frusamil;Luricul;Assicco;Apo Haloperidol;Heparin Ct;Endal-HD Reformulated Nov 2007;Hydromorphon Beta;Artelac;Ketanest S;Acular Augentropfen;Takepron;;Lingertong;Levaquin;ADOCAINEZ;Linezolid Farmaprojects;Lorazepam-Neuraxpharm;MEPINEM;Methadon Neuraxpharm;METHYREID;Ceolat;Asuzol;;Midazolam-Ratiopharm;;Mirtazapin Real;MXL;Lubrirhin;;Apodipine;Nidaer;Rectogesic;;Xylestesin;Peixin;;Nembutal Sodium;BIPRIN;Phenytoin Awd;Piperacilline / Tazobactam EG;;Anesia;DACTEL;Rocuroniumbromid Pfizer;SIMVAZOCOR;Frumikal;;Sufentanil Hexal;Feinaan;;;CETRA SEMI;TRENZAMINE;;Manimon;HANOMYCIN;;;;Gelonasal
;Lypsyl Cold Sore;;Cordemcura;AMBESK S;AMOSULTAM;Pisulcin;;;Farbital;CADURAT;;Azitromax;Bisacodyl Ipa;;;Capto Hct;Carvedilol Aurus;Baktozil;CEPEM;FOZIDIME;AJU CEFTRIAXONE SODIUM;TELBICINE;Cisatracurium Normon;Lihong;Apo-Clonazepam;Catapresan;Minrin;AK-Dex;;Zemtard;40 Winks;Dobutamin Hameln;Kakodin;;Lignospan;;;MY-E;;Felodipin Azu;Fentanyl Ratiopharm;Fulkazil;Flumazenil Deltaselect;Disal;Gentacin;Dartisla;Haloperidol La;Heparin Dihydergot;Zotex HC;Palladon;Contac;Ketamin;Ketorolac-Trometamol-Brown;Takelda;;Mingsheng;Evoxil;ANESTAR;Linezolid Glenmark;Tavor;OMNIPENEM;CHLORHYDRATE DE METHADONE ASSISTANCE PUBLIQUE;METHYSOL;Gastrokinet;Anaemetro;;Apo-Midazolam;;Mirtazop 1a Pharma;Morphgesic SR;Neoeserin;;Nicodel;Yifulin;Millis;;NORPIN;Qiwen;;Socumb;COL AND CO;Phenytoin Hikma;Ab Piperacillin;;Fresofol;ELTIDIN C;Rocuronium Bromide Sanodoz;VAROZET;Sali Aldopur;;Sufentanil Medipha Sante;Feian;;;COMPA;Tranexamsaeure Carino;;Pertenso;ALLVANCO;;;;Gute Besserung Ernstfall Ratiopharm
;Lloydspharmacy Cold Sore;;AMIODARONE AGUETTANT;AMLOBA S;AMOXA DUO;Yunasupin;;;Alka-Seltzer Plus Cold and Cough;CIRCUET;;Zithromac;Bisacodyl Volkspharma;;;Capto Sanorania;Carvedilol Beta;Cefazolin Eberth;MYUNGMOON CEFEPIME;REYON CEFTAZIDIME;ALGITRISON;UFEXIL;Aj-Cisatracurium;Boshiduota;Dom-Clonazepam;Isoglaucon;DESRIN;De-Sone LA;;Kenzem;Tusstat;DOBURAN;Yaelista;;P2E1;;;A/T/S;;Felodipin Ct;Fentanyl Riemser Tds;Prodif;MYUNGMOON FLUMAZENIL;Discoid;Dermosol;Lonhala;Haloperidol-La Omega;Heparin Funcke;Atuss EX Reformulated Feb 2008;Rexaphon;T-Lac Hypromellose;Ab Ketamin;Ketovision;Lansap;;Boling;Tavanic;ANGELCAIN;Linezolid Hetero;Apo-Lorazepam;Ponaxem;Methaliq;METHYSOLONE;Gastrotem;Leyifu;;Desiject;;MIRTAX;Prepenon;JEIL NEOSTIGMINE METHYLSULFATE;;Xianli;Pingdaer;Dydrene;;Arterenol;Yipuning;;Euthasol;PHENEPHRINE;Apo-Phenytoin;Fluxapril;;Propofol Corden;ENPIS;Rocon;VAYDUO;Sincomen;;;Pijin;;;CONTRA;TRANSAMIN-S;;Resex;DONGKWANG VANCOMYCIN;;;;Imidin
;Clsore;;AMIODARONE BIOGARAN;AMLODA;AMOXAN DUO;Ampicillin Ratioph;;;Empirin;DIPINSTA;;Mingqixin;Dialax;;;Captobeta;Carvedilol Isis;Cefazolin Mip;AXEPIM;LG CEFTAZIDIME;CEFKIZON;Ciproxin;;Fude;Clonapam;Apo-Clonidine;DETURINE;Decadron with Xylocaine;;Anoheal;Aler-Dryl;DOBUTAMIN HCI MYUNGMOON;Evetant;;P3E1;;;Erythroped SF;;Felodipin Heumann;Fentanylharm;Yilikang;ANSEDATIVE;Durafurid;Rinderon;Robinul;Ratio-Haloperidol;Heparin Heumann;Zamicet;Apo-Hydromorphone;Brolene Cool Eyes;Keta Hameln;Apo-Ketorolac;LANSOPRAZOLE BGR;;Kepmini;Levofloxacin BT;EMTUKAIN;Linezolid Hexal;Pro-Lorazepam;MEROPENEM KABI;Misyo;NTF;Hyrin;Huashi;;Miprosed;;MYUNGMOON MIRTA;Mophiato;NEOSTIGMINE RENAUDIN;;Xinshulida;Beiqing;Naijiaoning;;;Jindilin;;Bella Sanol;Extendryl G;Novo-Phenytoin;Piperacillin Exal;;Propofol Hexal;HUVIS;Zemuron;VYZETINE;Spiro;;;Yibifu;;;DANOPHEN SEMI;Cyklokapron;;Salcant;VANCOMYCIN HCL SAMSUNG;;;;Logomed Nasen
;Aviral;;AMIODARONE CRISTERS;AMLOMESYL;AMOXAN NEO;Ampicillin Stada;;;Miniprin;DIVASTIN;;Yiqing;Lax;;;Captoflux;CADILEN;Saarzolin;CEFEPIME GERDA;BINEX CEFTAZIDIME;CEFREX;Ciprodex;;Aolixian;Ratio-Clonazepam;Ntp-Clonidine;ENURINE;Dexacort-LA;;Horizem;Antihist;DOBUTAMINE HCI PREMIX;Inovan;;P4E1;;;Dermamycin Erythromycin;;DILOPIN;Fentanyl 1a Pharma;Wenqing;FLUMAZENIL AGUETTANT;Furosemid Basics;Garasol;Utibron;Novo-Peridol;Heparin Plus;Hydro-Tuss XP;Hydromorph Contin;Clear Eyes Pure Relief Multi-Symptom;Velonarcon;Novo-Ketorolac;Lanxiduo;;Levetiracetam 1a Pharma;Keding;ENCAINE;Linezolid Inresa;Loreev;Meropenem Dr. Eberth;Metadol;PREZIMIN;Metoclamid;Weidile;;Nayzilam;;REMIXIL;Shinikang;Neostigmin-Rotexmedica;;Danyi;Haimenghui;Gonitro;;;Sandostatine Lar;;Jurmun;Preparation H Cooling Gel;Tremytoine;Piperacillin Ratiopharm;;Propofol-Ratiopharm Mct;JANDARK;Esmeron;Zocor;Spiro D;;;Shulanxin;;;GREENCET;Cyklo-f Heavy Period Relief;;Sali Puren;VANCOMYCIN HCI CJ;;;;Lomupren
;Ranovir;;AMIODARONE MYLAN;AMLO S;AMOXISULTAM;Ampicillin Und Sulbactam Ibisqus;;;Extra Strength Bayer;DUTADINE;;Junjie;Lax Makol Mono;;;Captomerck;CARDINAL;Zolicef;CEFEPIME MYLAN;CEFAZIME;CEFTRIXONE;Ciloxan;;Keersheng;Phl-Clonazepam;Nu-Clonidine;DEMORESIN;Neo-Decadron;;Herbesser;Beldin;DOBUTAMINE HCL HUONS;Cardiosteril;;Primatene Mist Inhaler;;;E-Solve 2;;L-DIPINE;Fentanyl Acino;Mainifen;FLUMAZENIL TEVA;Furosemid Hameln;Pattotic;Seebri;Nu-Haloperidol;Heparin Ratiopharm;Hydron CP;Phl-Hydromorphone;Xinleiran;Ketathesia;Riva Ketorolac;Dakepulong;;Levetiracetam Acis;Duoqing;FD CAINE;Linezolid Rotexmedica;Loraze;Meropenem Eberth;;Medrol;Metoclopramid Al;Nimeixin;;Hypnovel;;YUNGJIN MIRTAZAPINE;Meifeikang;Neostigmine Omega;;Kashutai;Nimodipin Isis;Rectiv;;;OCTSTATIN;;Omca;Qual-Tussin DC;Beuthanasia;Piperacillin Tazobactam Actavis;;Act Propofol;JANPRO;Rocuroniumbromid Bme;Zocor Ht-Pro;Spiro Inen;;;Pilu;;;GREENCET SEMI;Hexatron;;Slimin;VANCOTRIN;;;;Medicon
;Acycril;;AMIODARONE RANBAXY;AMLOST;ARI ACICLAN;Ampiclox;;;Acuprin 81;GADUE;;Zeqi;Laxagetten Ct;;;Coronorm;CARVELIX;CEFAMEZIN;CEFEPIME PANPHARMA;YUNGJIN CEFTAZIDIME;DONGWHA CEFTRIAXONE SODIUM;Cipro HC;;Tianfanglitai;Phl-Clonazepam-R;Teva-Clonidine;DESMON;Neo-Dex;;Hemarekeat;Belix;TOBUREX;Dopamin Ratiopharm;;Zorcaine;;;Emgel;;FELODIP;Fentanyl Ad;Hongxuguang;FLUMAZENIL WINTHROP;Furosemid Heumann;Aoqing;Trixeo;Teva-Haloperidol;Heparin Riker;Atuss HD Extended Release;Abl;Beiran;HUONS KETAMINE HCL;Ratio-Ketorolac;Dakar;;Levetiracetam Biomo;Suluo;LIDO A PLUS;Apo-Linezolid;Almazine;Meropenem Elc Group;;Solu-Medrol;Mcp 1a Pharma;Miertuo;;Buccolam;;MIRTA;Morcap SR;Pms-Neostigmine Methylsulfate;;Peier;SEREBONAL;Adenovasin;;;SANDOSTATINE L;;Belcomp;Re All 12;PHENIBITAL;Piperacillin Tazobactam Aurobindo;;Diprivan Eml;JINRADINE;Rocuroniumbromid Ratiopharm;Cholib;Spiro Pa;;;Feilude;;;KONTRAM;Pletasmin;;Triampur;VANCOMYCINE KABI;;;;Nasenen Al
;Astric;;AMIODARONE TEVA;AMNOPEN;ARI ACICLAN NEO;Amblosin;;;Anadin All-Night;HANTOVA;;Yarui;Laxans Heumann;;;Esparil;CARVEOL;YUHAN CEFAZOLINE;Cefepim Mip;CEFTAZIDIME AGUETTANT;HUVIAXONE;Ciproflaxacin;;Dafenrong;Pms-Clonazepam-R;Catapres;DESONIC;Poly-Dex;;Yabaolingshuang;Bydramine;DOBUTAMINE AGUETTANT;Dopamin Solvay;;Sensorcaine with Epinephrine;;;Ery-Sol;;HYDROFINE;Fentanyl Am;Libangtaining;Flumazenil B. Braun;Furosemid Ratiopharm;GentaVed;Ulunar Breezhaler;Serenace;Hepathrombin;M-End Liquid;HYDROP;Augverz;KETAMINE PANPHARMA;Nu-Ketorolac;Lansoprazol Actavis;;Levetiracetam Bristol Lab;Beidaruotong;OKTOKAIN;Gpc-Linezolid;Lelaan;Meropenem Hexal;;Meizhuole;Mcp Abz;Rosaced;;Liyuexi;;MIRTAZAPINE ALMUS;Morphine HCL Sterop;;;Afaduoxin;Nymalize;An Io Injeel;;;SIROCTID;;Migracet;Tusso-XR;Dilantin;Piperacillin Tazobactam Pfizer;;Propofusor;KBIS;KABI ROCURONIUM;Simvador;Spiro Tk;;;Bactoreduct;;;KYUNGDONG CAMPEX;Kaweian;;Triamteren Hct Al;VANCOMYCINE MIP;;;;Nasenen K Hex
;Pharrax;;AMIODARONE ZENTIVA;AMOLVIKA HCT;AUGME;Berocillin;;;Aspro Clear Maximum Strength;HIGHDUET;;Shumeite;Laxans Ratiopharm;;;Jucapt;DAEWOONG CARVEDILOL;Cephazolin Fresenius;Bindozef;CEFTAZIDIME ARROW;CERIXON;Cilodex;;Kexinlin;Nu-Clonazepam;Combipres;OVEA ODIFS;Tobradex;;Dierding;Dermarest Anti-Itch;DOBUTAMINE MYLAN;DOPASIN;;Twinject;;;Pediazole;;FELODIPINE BINEX;Fentanyl Ct;Kangrui;Flumazenil Hexal;Fumarenid;Dispagent;Bevespi;Haldol;Juwoment Sport;Hydrotuss HC;Palladone SR;Teardew;Ketacine;KEDILAC;Lansoprazol Basics;;Levetiracetam Neuraxpharm;Dafentaixing;PRICAIN;Zyvoxam;Lorazetop;Meropenem Hikma;;Youjin;Mcp Axcount;Tryplera;;Midazolam hydrochoride;;MIRTAZAPINE BLUEFISH;Dropizol;;;NICARPIN;Nimodipin Hexal;Alphavirgin;;;OCTREOTIDE ARROW;;ENTOBAR;Tylenol Cold Multi-Symptom Nighttime;Di-Phen;Piperacillin Tazobactam Stragen;;AQUAFOL;NEW NASPORIN;ROCARON;Lipozart;Spirodigal;;;Bactr;;;LITE ULTRA SEMI;Anvitoff;;Triamteren Hct Bt;VANCOMYCINE MYLAN;;;;Nasenen Ratiopharm
;Actios;;Cardinorm;AMOSTATIN;AUGME DUO;Broncho Binotal;;;Anacin;LITOATIN;;Weilude;Laxinetten;;;Jutacor;KARTER;Cefazolin Hexal;Yuekangkaixin;CEFTAZIDIME GERDA;DAEHWA CEFTRIAXONE;Ciproxin Infusion;;Longkeduo;Zym-Clonazepam;Catapres-TTS-1;MINIRIN MELT;Decadron;;Optil;Di-Delamine;Dobutamin-Ratiopharm;DOPAMIX CJ;;Scandonest 2% Special;;;Sulfimycin;;KEYDIPIN;Fentanyl Fz;Qiande;Flumazenil Inresa;Furanthral;Dexagent Ophtal;Glycate;Halomonth;Praecivenin;Procet;Naruvein;Teargen II;Ketamin Inresa;KENTORAC;Lansoprazol Bluefish;;KEPIRAM;Laimeixing;YOUPATCH;Zyvox;Duralozam;Meropenem Hospira;;Depo-Medrol + Lidocaine;Mcp Beta;rzol;;Midaselect;;MIRTAZAPINE EG;Ipecacuanha and Morphine mixture BP 1980;;;BINICAPIN;;Betripenta;;;OCTREOTIDE HOSPIRA;;Nova Rectal;Zotex-12;Aleviatin with Phenobarbital;Piperacillin Tazobactam Teva;;DIPRIVAN PFS;RABISCAN;ROMERON;Lipovas;Spirogamma;;;Cotrimstada;;;MULTICET SEMI;EXACYL;;Triazid;VANCOMYCINE SANDOZ;;;;Nasenspray Hemopharm
;Viruhexal;;Amiodaron Hcl Stragen;ANYTENTION;AUGMEN DUO;Jenampin;;;Aspir-Mox;LITOR;;Qinuo;Mandrolax;;;Mundil;SANDOZ CARVEDILOL;Cefazolin Hikma;Kangliwopu;CEFTAZIDIME MYLAN;ILSUNG CEFTRIAXONE;Kunning;;Xinpufeng;Teva-Clonazepam;Runrui;DENIRIN;Neopolydex;;Zempt;Diphenadryl;Dobutamine Sdz;INOPAN MYUNG MOON;;Iontocaine;;;Erymax Sprinkle;;SPLENDIL;Fentaderm;Huqi;Flumazenil Pharmaselect;Furo 1a Pharma;Durabetagent;Novistig;Halkid;Parin Pos;Procof D;Ruining;Tears Naturale;Ketamin Rotexmedica;Acular;Lansoprazol Heumann;;LEVETIQUAL;Tonglin;Instillagel;LINEZOLIDE MYLAN PHARMA;Laubeel;Meropenem Inresa;;Metycortin;Mcp Ct;Vagimid Vaginal;;Midazolam Dts;;MIRTAZAPINE MYLAN;Rhotard SR;;;DONG-A PERDIPINE;;Baldronit;;;Octreotid Gp-Pharm;;Novo-Pentobarb;Duratuss AC 12;Euthasol;Tazobac;;Diprivan;RABIT D;ROCNIUM;Saifuding;Spironolacton Accedo;;;Cotrim 1a Pharma;;;MYTICET SEMI;SPOTOF;;Tri Thiazid Reserp;Vycin;;;;Nasenspray Ipa
;Natazil;;Amiodaron Rivopharm;ARI DUO;AUGMENTO NEO;Lumota;;;Aspirtab;LIVADUET;;Puleqi;Logomed Abfuehr;;;Tensostad;SUVECA;Cefazolin Hospira;Lingdi;CEFTAZIDIME SANDOZ;LG CEFTRIAXONE SODIUM;Xipuxin;;Jieli;Sandoz Clonazepam;Kapvay;DESMOP ODIFS;Minims dexamethasone;;Dilcardia SR;Diphendryl;;UDOPA;;Septanest;;;Ilosene Forte;;STAPIN;Ribofentanyl;Younian;;Furo Abz;Duragentam;;Buteridol;Prothromplex S;Bromplex HD;Hydrostat;Visine Tired Eye Relief;Ketamin-Actavis;Toradol;Lansox;;STARETAM;Zuokang;Neosporin Plus Maxium Strength Ointment;LINEZOLIDE OHRE PHARMA;Lorazepam Heumann;Meropenem Medipha Sante;;Neo Medrate;Mcp Lyssia;Sentry AQ Mardel Clout;;Midazolam Hameln;;MIRTAZAPINE PFIZER;M Dolor;;;NICARDIPINE ARROW;;Coro Nitro;;;Octreotid Sun;;Somnasol;Vazotuss HC;Antisacer;TAZO V;;Limengxin;RANICOS;CURONI;Yixin;Spironolacton Awd;;;Cotrim Dio;;;PARACET SEMI;Zamic;;Tri Thiazid Stada;Vancomycin Cnp;;;;Nasenspray Purratiopharm
;Vicclox;;Amiodaron Winthrop;AROPIN;AUGMEX DUO FORTE;Lucipen;;;Azdone;RADUET;;Paiqi;Milkitten;;;CAPOZIT;ALVELOL;;Masiping;CEFTAZIDIME TEVA;PORIXONE;Jiake;;Meidixing;;Nexiclon;RENISSIN;Cilodex;;Matzim;Doans PM;;TROPIN;;Adrenalin Sintetica;;;Erythromicin;;FELODIN;Subsys;Shuangweiduqing;;Furo Aldopur;Genta Coll;;Duraperidol;Sportino;Dynatuss HC;Exalgo;Goniovisc;Zetamine;Acuvail;LANPRA;;EPISK;Luopuxing;Octocaine;Siwo;Lorazep Ct;Meropenem Ratiopharm;;COTIRON;Mcp Ratiopharm;Byk Metronidazol;;MIDACUM;;MIRTAZAPINE RATIOPHARM;Morph 1a Pharma;;;;;Digi Nitronal;;;Ocphyl;;Fatal-Plus;4-Way;Citrullamon;TAZOPERAN;;Depulima;RANTIS;PFIZER ROCURONIUER;Kadike;Spironothiazid;;;Cotrim Eu Rho;;;PEINTRA;Tranexamsaeure Hexal;;Duradiuret;Vancomycin Dr. Eberth;;;;Nasenspray Sandoz
;Actidas;;Amiodaronhydrochlorid Hexal;ATODIA;AUGMOX;Penstabil;;;Bayer Aspirin;RETOVA;;Shengnuoling;Nedalax;;;CAPRIL;AUSTIN CARVEDILOL;;Dalineng;FORTUMSET;K-AXONE;Bameiluo;;Tenasi;;Clonidin Ratiopharm;MINIRIN SPRAY;Sofradex;;Adizem-SR;Dytuss;;DOPAMINE AGUETTANT;;Jext;;;Erythroped Forte SF;;HALOPIN;MYUNGMOON FENTANYL CITRATE;Binli;;Furo Basf;Gentamicin Pos;;Euteberol;Thrombo Enelbin;Hy-KXP;Hydromorphon Abz;Tears Renewed;;KETRO;LANSATON;;LEVIROTIN;Anfanzheng;Mercuroclear;Linezolid Amnea;Tolid;Meropenem Regiomedica;;J-SOLONE;Mcpham;Infectoclont;;MIZOLAM;;MIRTAZAPINE SANDOZ;Morph Sandoz;;;;;Elhaterin;;;;;Euthaphen;B-Tuss;Cusitan;ACOPEX;;Propolipid;REBAVIS;ROCURONIUM B BRAUN;Xinke;Spirostada;;;Cotrim Forte Heumann;;;PHENACET;Gd-Tranexamic Acid;;Dociton;Vancomycin Hospira;;;;Nasenspray Teva
